County,Sector,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Total Usage
SAN LUIS OBISPO,Non-Residential,45.338664,44.202841,44.280112,36.870213,32.808141,34.375776,37.265959,35.602386,40.620458,40.544451,25.848567,26.501642,31.199965,44.20169,30.825167,37.412395,39.335643,28.649625,35.097787,22.623337,15.69896,17.29369,17.635416,12.295066,20.692337,20.790278,818.010566
SAN LUIS OBISPO,Residential,32.361262,32.755093,40.847074,39.996303,41.236395,40.525835,39.781484,40.086958,40.846126,39.714431,37.760996,39.950911,38.28644,39.204497,38.303857,38.95628,42.164679,39.315403,33.228611,33.585155,32.8109,35.547725,33.306905,35.57974,35.670225,33.837026,975.660311
SAN LUIS OBISPO,Total,77.699926,76.957934,85.127186,76.866516,74.044536,74.901611,77.047443,75.689344,81.466584,80.258882,63.609563,66.452553,69.486405,83.406187,69.129024,76.368675,81.500322,67.965028,68.326398,56.208492,48.50986,52.841415,50.942321,47.874806,56.362562,54.627304,1793.670877
SAN MATEO,Non-Residential,88.476311,87.335184,95.736953,92.415286,90.718895,88.254246,89.085984,93.103539,92.602629,88.133076,89.728317,96.673639,97.557617,73.892066,67.109619,77.295377,81.221297,75.800997,72.37282,69.022432,68.477164,74.516335,70.740849,65.83116,75.289356,78.020013,2139.411161
SAN MATEO,Residential,105.431449,105.403124,131.951385,130.041199,135.392178,132.710927,132.070337,136.422817,133.221491,130.010184,127.198326,132.216255,133.734338,85.779037,111.593218,150.465176,171.361806,159.366244,138.620398,138.210056,138.481438,158.774703,147.277774,134.647302,155.333803,152.072946,3507.787911
SAN MATEO,Total,193.90776,192.738308,227.688338,222.456485,226.111073,220.965173,221.156321,229.526356,225.82412,218.14326,216.926643,228.889894,231.291955,159.671103,178.702837,227.760553,252.583103,235.167241,210.993218,207.232488,206.958602,233.291038,218.018623,200.478462,230.623159,230.092959,5647.199072
SANTA BARBARA,Non-Residential,65.750901,72.762384,72.604756,59.926524,59.531042,60.769576,59.182014,58.667494,63.721376,62.897845,36.030068,47.245893,34.866709,53.649276,46.279891,68.862539,73.631999,84.69129,56.105895,70.866931,65.370162,70.736073,56.451562,38.270853,45.044981,67.183469,1551.101503
SANTA BARBARA,Residential,49.660443,50.768983,64.324758,62.634117,65.888375,65.881014,64.060114,64.583269,66.993808,64.511235,61.371479,63.114691,60.137815,66.030362,68.227157,69.024877,73.966173,70.757956,62.106931,66.872547,60.207128,65.213985,66.620027,65.339932,65.498748,64.070453,1667.866377
SANTA BARBARA,Total,115.411344,123.531367,136.929514,122.560641,125.419417,126.65059,123.242128,123.250763,130.715184,127.40908,97.401547,110.360584,95.004524,119.679638,114.507048,137.887416,147.598172,155.449246,118.212826,137.739478,125.57729,135.950058,123.071589,103.610785,110.543729,131.253922,3218.96788
SANTA CLARA,Non-Residential,195.343683,188.826768,199.901497,192.98391,194.364514,186.108413,189.786904,199.541568,209.60817,262.792968,247.393966,232.714292,270.039924,234.958565,198.376159,204.929066,225.258094,218.337641,208.046836,209.054601,207.453995,219.898726,222.399694,204.928948,248.410015,268.437503,5639.89642
